Sample in Buffer,Sample in Window,TRIGGER,adc2_data_b_d0[11:0],adc2_data_a_d0[11:0]
478,478,0,3509,2049
479,479,0,3006,2049
480,480,0,2416,2050
481,481,0,1795,2049
482,482,0,1194,2050
483,483,0,671,2049
484,484,0,267,2049
485,485,0,19,2049
486,486,0,0,2049
487,487,0,67,2049
488,488,0,357,2049
489,489,0,796,2049
490,490,0,1344,2049
491,491,0,1955,2049
492,492,0,2573,2049
493,493,0,3145,2049
494,494,0,3621,2049
495,495,0,3958,2050
496,496,0,4095,2049
497,497,0,4095,2049
498,498,0,3914,2049
499,499,0,3553,2049
500,500,0,3059,2050
501,501,0,2475,2049
502,502,0,1855,2049
503,503,0,1250,2049
504,504,0,717,2049
505,505,0,299,2049
506,506,0,36,2049
507,507,0,0,2049
508,508,0,47,2049
509,509,0,321,2049
510,510,0,748,2049
511,511,0,1287,2049
512,512,0,1894,2049
513,513,0,2515,2049
514,514,0,3093,2050
515,515,0,3580,2049
516,516,0,3932,2049
517,517,0,4095,2049
518,518,0,4095,2048
519,519,0,3941,2050
520,520,0,3594,2049
521,521,0,3112,2049
522,522,0,2535,2049
523,523,0,1915,2049
524,524,0,1307,2048
525,525,0,764,2049
526,526,0,334,2049
527,527,0,54,2049
528,528,0,0,2049
529,529,0,30,2049
530,530,0,288,2049
531,531,0,700,2048
532,532,0,1231,2049
533,533,0,1834,2049
534,534,0,2455,2049
535,535,0,3041,2049
536,536,0,3538,2049
537,537,0,3905,2049
538,538,0,4095,2050
539,539,0,4095,2049
540,540,0,3966,2049
541,541,0,3634,2050
542,542,0,3163,2049
543,543,0,2593,2048
544,544,0,1975,2049
545,545,0,1365,2049
546,546,0,813,2049
547,547,0,370,2050
548,548,0,74,2049
549,549,0,0,2049
550,550,0,14,2050
551,551,0,256,2049
552,552,0,654,2049
553,553,0,1176,2049
554,554,0,1774,2049
555,555,0,2395,2049
556,556,0,2987,2048
557,557,0,3495,2049
558,558,0,3877,2049
559,559,0,4095,2049
560,560,0,4095,2049
561,561,0,3990,2049
562,562,0,3673,2049
563,563,0,3214,2049
564,564,0,2651,2049
565,565,0,2037,2049
566,566,0,1422,2049
567,567,0,863,2049
568,568,0,406,2049
569,569,0,95,2049
570,570,0,0,2050
571,571,0,0,2050
572,572,0,224,2049
573,573,0,609,2050
574,574,0,1121,2049
575,575,0,1714,2049
576,576,0,2335,2049
577,577,0,2932,2049
578,578,0,3450,2050
579,579,0,3846,2049
580,580,0,4082,2049
581,581,0,4095,2049
582,582,0,4011,2049
583,583,0,3711,2050
584,584,0,3264,2049
585,585,0,2709,2049
586,586,0,2097,2049
587,587,0,1480,2049
588,588,0,912,2049
589,589,0,446,2050
590,590,0,119,2049
591,591,0,0,2049
592,592,0,0,2049
593,593,0,195,2049
594,594,0,566,2049
595,595,0,1067,2049
596,596,0,1654,2049
597,597,0,2275,2049
598,598,0,2877,2049
599,599,0,3405,2049
600,600,0,3814,2049
601,601,0,4066,2049
602,602,0,4095,2049
603,603,0,4032,2049
604,604,0,3747,2049
605,605,0,3313,2049
606,606,0,2767,2049
607,607,0,2158,2049
608,608,0,1538,2049
609,609,0,964,2049
610,610,0,485,2049
611,611,0,142,2049
612,612,0,0,2049
613,613,0,0,2049
614,614,0,167,2048
615,615,0,524,2049
616,616,0,1013,2049
617,617,0,1594,2049
618,618,0,2215,2049
619,619,0,2821,2050
620,620,0,3358,2049
621,621,0,3780,2049
622,622,0,4050,2048
623,623,0,4095,2049
624,624,0,4050,2049
625,625,0,3782,2049
626,626,0,3360,2049
